,Sector industrial,Población ocupada por sexo: Hombre,Población ocupada por sexo: Mujer,Ingreso bruto medio en el empleo principal por sexo: Hombre,Ingreso bruto medio en el empleo principal por sexo: Mujer,brecha del ingreso,Data Period quarterly,Data Period year
0,"Agricultura, ganadería y pesca",229512,36759,334316.2742235664,374773.703243682,112.10154340050482,4,2018
1,Industria manufacturera,154018,83006,419304.67374899844,336096.435425319,80.15566161480731,4,2018
2,Construcción,137657,2424,358193.35992792586,348158.22681088164,97.19840336541597,4,2018
3,Otros3/,24568,2375,870981.4009619156,557126.3463157895,63.96535513852497,4,2018
4,Comercio y reparación,217753,149391,409698.67864562286,263725.2820860981,64.3705473881239,4,2018
5,Transporte y almacenamiento,97429,12185,370475.5967640332,562934.6327339121,151.94918036462784,4,2018
6,Hoteles y restaurantes,56809,74162,410051.2181699795,252698.11445012462,61.62598798703558,4,2018
7,Intermediación financiera y de seguros,27208,18415,875702.2644997912,787346.1057744444,89.91025119983941,4,2018
8,Actividades profesionales y administrativas de apoyo,140016,63611,426446.9680066531,446988.44595739746,104.81688920119699,4,2018
9,Administración pública,52331,33875,890258.5865986705,1057642.1724224645,118.80168170725555,4,2018
10,Enseñanza y salud,73241,131230,927942.7503447209,765638.6256550053,82.50925236180558,4,2018
11,Comunicación y otros servicios4/,92453,77580,508306.7627738272,301999.7256236861,59.41288759875538,4,2018
12,Hogares como empleadores,19319,140039,241360.40568891808,152581.63936387736,63.21734458821514,4,2018
13,"Agricultura, ganadería y pesca",232165,47098,320852.54366893356,322830.30468473147,100.61640808365809,1,2019
14,Industria manufacturera,152833,84039,481645.4617109374,325630.45488284813,67.60791510961592,1,2019
15,Construcción,135625,2873,343602.75507996493,334939.8428800197,97.47880013420463,1,2019
16,Otros3/,23894,3264,913853.1628225147,722285.8078788808,79.03740308213614,1,2019
17,Comercio y reparación,210865,144302,460984.2853286891,272363.11968362826,59.082951057524454,1,2019
18,Transporte y almacenamiento,112362,13108,400782.19424568495,422372.96274014,105.3871576143973,1,2019
19,Hoteles y restaurantes,58836,76280,456010.5479897611,277486.29205343826,60.85084945440094,1,2019
20,Intermediación financiera y de seguros,28181,23301,758124.7368494187,801257.5384624668,105.68940696913512,1,2019
21,Actividades profesionales y administrativas de apoyo,130076,60613,493457.8059633887,508480.29312672414,103.04433063613345,1,2019
22,Administración pública,53459,35448,920664.3762530918,1141342.0139515935,123.96939030014529,1,2019
23,Enseñanza y salud,68419,130941,993592.7540679378,817784.328456213,82.3057862598197,1,2019
24,Comunicación y otros servicios4/,94717,74956,522059.75671615003,358619.5772833314,68.69320468965338,1,2019
25,Hogares como empleadores,20095,142965,224277.26974131234,153398.90337765147,68.39699072250436,1,2019
26,"Agricultura, ganadería y pesca",226150,29925,312589.49054232775,269314.4098263555,86.15593869106345,2,2019
27,Industria manufacturera,152789,72672,448594.5368278527,307289.6251787576,68.5005277486648,2,2019
28,Construcción,154633,12202,365751.45606738684,584525.4992319507,159.81494797501406,2,2019
29,Otros3/,20679,3282,710616.5943585645,835185.3068405257,117.52966557084173,2,2019
30,Comercio y reparación,219391,131595,409622.6207736497,283163.82918008964,69.1279765373507,2,2019
31,Transporte y almacenamiento,100902,15987,384929.7981947977,392383.11325575673,101.936279055535,2,2019
