,Sector industrial,Población ocupada por sexo: Hombre,Población ocupada por sexo: Mujer,Ingreso bruto medio en el empleo principal por sexo: Hombre,Ingreso bruto medio en el empleo principal por sexo: Mujer,brecha del ingreso,Data Period quarterly,Data Period year
0,Público,140184,134887,977985.329932818,969130.4980135747,99.09458438197109,4,2018
1,Privado,1192777,697475,402621.43578867137,288593.74942627706,71.67868468328513,4,2018
2,Público,141102,142109,1000167.4014440897,1045560.6814480685,104.5385682375208,1,2019
3,Privado,1187993,700562,426848.0613683595,301694.21877974056,70.67953355875402,1,2019
4,Público,153200,151655,1057467.2101240694,1002390.3370592779,94.7916235569773,2,2019
5,Privado,1183734,694606,415892.6151866948,295812.0159117369,71.12701815562329,2,2019
6,Público,148999,158833,1046662.7103862901,1014109.1097475518,96.8897716221567,3,2019
7,Privado,1173903,680878,414090.04120945156,296935.41306769254,71.7079339074226,3,2019
8,Público,152391,159771,1005135.7987317732,1032219.6354592886,102.69454503179453,4,2019
9,Privado,1194703,675953,402525.891607738,298251.0674060665,74.0948777766357,4,2019
10,Público,150142,152202,990028.8500399729,1025334.4104681421,103.56611430330982,1,2020
11,Privado,1210852,694979,400728.43204219284,301356.4418983893,75.20216131473781,1,2020
12,Público,141479,149859,1102175.8926198434,1034617.2037939145,93.87042582964288,2,2020
13,Privado,987245,466674,363966.63048440596,315300.30452751025,86.62890444321081,2,2020
14,Público,123804,147665,932254.2012447454,1053909.2012178507,113.04955234427172,3,2020
15,Privado,1061551,513089,344058.5778707842,289159.4564185936,84.0436701819977,3,2020
16,Público,130528,157846,956781.7630817718,1013693.4491211699,105.94824109691294,4,2020
17,Privado,1086138,578639,353700.664644018,270219.7724492088,76.39786957176669,4,2020
18,Público,132232,132873,921294.807443563,1003673.9369072928,108.94166870345421,1,2021
19,Privado,1128707,598542,385648.0662929617,283291.62365012674,73.45858787087012,1,2021
20,Público,125574,139018,997202.8546201066,987838.0879930289,99.06089652835529,2,2021
21,Privado,1120046,584725,394663.46902001766,333114.12422190874,84.40460046861163,2,2021
22,Público,133460,164312,1015506.6143943241,971806.3592388175,95.69670403559402,3,2021
23,Privado,1153378,642498,403647.7600129704,338427.43584668933,83.8422677821412,3,2021
24,Público,129113,160262,997182.817580426,991303.2396392645,99.41038114200286,4,2021
25,Privado,1169619,644969,398345.43556459266,320289.2552589961,80.40490154105467,4,2021
26,Público,120637,160355,978448.0210426725,1001162.924552331,102.3215237826791,1,2022
27,Privado,1169307,651777,396508.73162267706,385300.90101865964,97.173371048312,1,2022
