,Sector industrial,Población ocupada por sexo: Hombre,Población ocupada por sexo: Mujer,Ingreso bruto medio en el empleo principal por sexo: Hombre,Ingreso bruto medio en el empleo principal por sexo: Mujer,brecha del ingreso,Data Period quarterly,Data Period year
0,1.1 Sector primario,229512,36759,334316.2742235664,374773.703243682,112.10154340050482,4,2018
1,1.2 Sector secundario,316243,87805,430422.2846410937,342782.56769325014,79.63866647357219,4,2018
2,1.3 Sector comercio y servicios,776559,700488,516772.92925936414,414703.9121716573,80.24876859668491,4,2018
3,1.4 No especificado ,10647,7310,-,-,-,4,2018
4,3. Sector institucional,1332961,832362,467947.2519399853,405666.4028884478,86.6906261777716,4,2018
5,1.1 Sector primario,232165,47098,320852.54366893356,322830.30468473147,100.61640808365809,1,2019
6,1.2 Sector secundario,312352,90176,457512.59909609065,341539.454884046,74.65137693668476,1,2019
7,1.3 Sector comercio y servicios,777010,701914,553391.4199881773,452450.5593935116,81.75959059921418,1,2019
8,1.4 No especificado ,,,-,-,-,1,2019
9,3. Sector institucional,1329095,842671,491835.0217586719,434330.0303663186,88.30807306345719,1,2019
10,1.1 Sector primario,226150,29925,312589.49054232775,269314.4098263555,86.15593869106345,2,2019
11,1.2 Sector secundario,328101,88156,429735.6285431115,369182.2970085752,85.90916658694927,2,2019
12,1.3 Sector comercio y servicios,778771,724232,569415.9090185754,443553.1194101684,77.89615856969301,2,2019
13,1.4 No especificado ,3912,3948,-,-,-,2,2019
14,3. Sector institucional,1336934,846261,494630.0346944247,430465.8565843719,87.02784432617551,2,2019
15,1.1 Sector primario,213259,27485,324510.44563796883,237365.7564779576,73.14579843841705,3,2019
16,1.2 Sector secundario,314786,82955,414082.47448064893,353549.5707432474,85.38143788545429,3,2019
17,1.3 Sector comercio y servicios,792751,727592,558112.7799093066,457039.7851862925,81.89022033513757,3,2019
18,1.4 No especificado ,2106,1679,-,-,-,3,2019
19,3. Sector institucional,1322902,839711,490259.00988549524,440686.17491170304,89.88843978912892,3,2019
20,1.1 Sector primario,227489,34180,310244.66886829876,242043.1342443183,78.01685525402775,4,2019
21,1.2 Sector secundario,320651,71845,419226.4718685608,366983.44314379623,87.53823238024334,4,2019
22,1.3 Sector comercio y servicios,791492,727879,536555.9108469052,458106.4161424026,85.37906430279052,4,2019
23,1.4 No especificado ,7462,1820,0,0,0,4,2019
24,3. Sector institucional,1347094,835724,473154.0948164337,443025.551630976,93.63240358362609,4,2019
25,1.1 Sector primario,227512,42567,321454.74892144033,249810.26896923876,77.71242136176666,1,2020
26,1.2 Sector secundario,324873,77805,426261.25313312875,365456.7999207841,85.73540222916898,1,2020
27,1.3 Sector comercio y servicios,802037,725773,523710.9199438564,462838.1567312356,88.37664809067823,1,2020
28,1.4 No especificado ,6572,1036,-,-,-,1,2020
29,3. Sector institucional,1360994,847181,468715.450830593,444983.15539242036,94.93673711926553,1,2020
30,1.1 Sector primario,207540,26061,297001.0357153986,271227.87913522933,91.32219976334815,2,2020
31,1.2 Sector secundario,270754,66896,415811.67797188653,426246.1287292475,102.50941743826311,2,2020
32,1.3 Sector comercio y servicios,646372,521115,540176.7723989636,529792.2959963407,98.07757813122828,2,2020
33,1.4 No especificado ,4058,2461,-,-,-,2,2020
34,3. Sector institucional,1128724,616533,466839.2530617844,508725.14275572967,108.97222960992138,2,2020
35,1.1 Sector primario,207208,29503,289258.0844338888,231454.84548489118,80.01672483515019,3,2020
36,1.2 Sector secundario,264173,61233,361882.3964980037,291392.8850982195,80.52143124895741,3,2020
37,1.3 Sector comercio y servicios,707416,569836,455161.55013410054,501978.10907933256,110.28570162208095,3,2020
38,1.4 No especificado ,6558,182,-,-,-,3,2020
39,3. Sector institucional,1185355,660754,410056.2432017974,471323.15544432093,114.94109972918342,3,2020
40,1.1 Sector primario,215167,33489,288909.84628424386,249434.96710988236,86.33660995564541,4,2020
41,1.2 Sector secundario,285279,76026,385284.2891888702,366350.49636129296,95.08576047379505,4,2020
42,1.3 Sector comercio y servicios,706986,623122,476671.3914363674,453206.77466329775,95.0774019178363,4,2020
43,1.4 No especificado ,9234,3848,-,-,-,4,2020
44,3. Sector institucional,1216666,736485,424244.7962428997,436757.32449629187,102.94936516940285,4,2020
45,1.1 Sector primario,229933,36378,329719.2909373346,237276.182772671,71.96308778237879,1,2021
46,1.2 Sector secundario,291647,73149,424252.06421916845,321951.2493597059,75.88678441724352,1,2021
47,1.3 Sector comercio y servicios,725637,616585,486768.28709463525,443442.6153862856,91.09932325974916,1,2021
48,1.4 No especificado ,13722,5303,-,-,-,1,2021
49,3. Sector institucional,1260939,731415,444191.4295612616,421117.4511347705,94.80539765270082,1,2021
50,1.1 Sector primario,197412,24059,312255.56865138665,277251.5088365716,88.78993256517553,2,2021
