,Sector industrial,Población ocupada por sexo: Hombre,Población ocupada por sexo: Mujer,Ingreso bruto medio en el empleo principal por sexo: Hombre,Ingreso bruto medio en el empleo principal por sexo: Mujer,brecha del ingreso,Data Period quarterly,Data Period year
0,1. Rama de actividad,1332961,832362,467947.2519399853,405666.4028884478,86.6906261777716,4,2018
1,1. Rama de actividad,1329095,842671,491835.0217586719,434330.0303663186,88.30807306345719,1,2019
2,1. Rama de actividad,1336934,846261,494630.0346944247,430465.8565843719,87.02784432617551,2,2019
3,1. Rama de actividad,1322902,839711,490259.00988549524,440686.17491170304,89.88843978912892,3,2019
4,1. Rama de actividad,1347094,835724,473154.0948164337,443025.551630976,93.63240358362609,4,2019
5,1. Rama de actividad,1360994,847181,468715.450830593,444983.15539242036,94.93673711926553,1,2020
6,1. Rama de actividad,1128724,616533,466839.2530617844,508725.14275572967,108.97222960992138,2,2020
7,1. Rama de actividad,1185355,660754,410056.2432017974,471323.15544432093,114.94109972918342,3,2020
8,1. Rama de actividad,1216666,736485,424244.7962428997,436757.32449629187,102.94936516940285,4,2020
9,1. Rama de actividad,1260939,731415,444191.4295612616,421117.4511347705,94.80539765270082,1,2021
10,1. Rama de actividad,1245620,723743,458719.6998189089,470317.13224574475,102.5282176526132,2,2021
11,1. Rama de actividad,1286838,806810,469223.87065200566,472823.2139785063,100.76708444553326,3,2021
12,1. Rama de actividad,1298732,805231,463187.70964328747,461890.83234418754,99.72001042512576,4,2021
13,1. Rama de actividad,1289944,812132,451508.03163302393,513693.0617215324,113.77274062292896,1,2022
